Payment_ID,C_ID,SH_ID,AMOUNT,Payment_Status,Payment_Mode,Payment_Date
313cd69e-66f3-11ea-9879-7077813058ce,230,690,49302,PAID,CARD PAYMENT,2014-12-18
313dc140-66f3-11ea-a952-7077813058ce,3189,933,78698,PAID,CARD PAYMENT,1997-07-10
313eab1e-66f3-11ea-81af-7077813058ce,2216,261,69417,NOT PAID,CARD PAYMENT,
313f474a-66f3-11ea-a78b-7077813058ce,1904,445,39655,NOT PAID,COD,
3140589a-66f3-11ea-a057-7077813058ce,7342,722,87400,NOT PAID,COD,
31411bc8-66f3-11ea-a4b7-7077813058ce,7633,129,56881,PAID,CARD PAYMENT,1971-11-01
3141defa-66f3-11ea-b10e-7077813058ce,2154,489,99239,NOT PAID,COD,
3142c940-66f3-11ea-9f69-7077813058ce,5543,165,23921,NOT PAID,COD,
31444fa8-66f3-11ea-912a-7077813058ce,2332,164,67599,NOT PAID,CARD PAYMENT,
314539e6-66f3-11ea-bfa4-7077813058ce,4094,364,3725,NOT PAID,COD,
3145fd0a-66f3-11ea-958b-7077813058ce,3042,469,95516,PAID,COD,1991-05-15
31469934-66f3-11ea-8572-7077813058ce,2220,158,62528,PAID,COD,1976-06-30
3147355e-66f3-11ea-aae4-7077813058ce,4988,337,21021,NOT PAID,CARD PAYMENT,
3147f89c-66f3-11ea-8dfd-7077813058ce,175,634,99492,NOT PAID,CARD PAYMENT,
3148bbc8-66f3-11ea-8acf-7077813058ce,4233,577,60282,PAID,CARD PAYMENT,1987-08-09
31497efa-66f3-11ea-9497-7077813058ce,4351,907,20357,NOT PAID,CARD PAYMENT,
314a1b22-66f3-11ea-9e82-7077813058ce,5578,870,24053,NOT PAID,CARD PAYMENT,
314ade58-66f3-11ea-8979-7077813058ce,4523,982,50958,NOT PAID,CARD PAYMENT,
314b7a8a-66f3-11ea-97d4-7077813058ce,2972,351,68227,PAID,CARD PAYMENT,1977-07-06
314c8bcc-66f3-11ea-b526-7077813058ce,6153,328,77861,PAID,CARD PAYMENT,1997-09-08
314d761e-66f3-11ea-b155-7077813058ce,4852,242,48315,NOT PAID,CARD PAYMENT,
314eae64-66f3-11ea-b08f-7077813058ce,8106,421,83002,PAID,CARD PAYMENT,1999-03-05
314f4a7a-66f3-11ea-8b83-7077813058ce,3917,6,47650,PAID,COD,1977-11-08
315034c6-66f3-11ea-a2bf-7077813058ce,9377,384,19386,NOT PAID,COD,
31511efa-66f3-11ea-bc4c-7077813058ce,5387,286,39432,PAID,COD,2005-09-15
3151e23a-66f3-11ea-9b38-7077813058ce,6513,892,1421,PAID,COD,2019-12-12
3152a56c-66f3-11ea-9340-7077813058ce,3965,558,16113,PAID,COD,2013-11-15
31534188-66f3-11ea-8acd-7077813058ce,8893,481,52318,NOT PAID,CARD PAYMENT,
3153ddb4-66f3-11ea-a4d6-7077813058ce,1897,155,7389,NOT PAID,CARD PAYMENT,
3154c800-66f3-11ea-8721-7077813058ce,390,771,86040,PAID,COD,2013-11-15
3155d94c-66f3-11ea-b116-7077813058ce,3633,945,56148,PAID,COD,2001-08-10
31575fac-66f3-11ea-8d99-7077813058ce,7828,719,894,PAID,CARD PAYMENT,2006-07-17
315897f8-66f3-11ea-ad46-7077813058ce,2241,493,35634,NOT PAID,COD,
3159d04c-66f3-11ea-95df-7077813058ce,896,998,28701,PAID,CARD PAYMENT,2013-11-15
315aba8a-66f3-11ea-9db6-7077813058ce,6361,968,90380,PAID,CARD PAYMENT,1993-08-02
315b7db4-66f3-11ea-ae41-7077813058ce,6713,738,21813,NOT PAID,COD,
315c67f4-66f3-11ea-bcd7-7077813058ce,4283,912,36312,NOT PAID,CARD PAYMENT,
315d041c-66f3-11ea-8af9-7077813058ce,9486,782,24856,PAID,CARD PAYMENT,2002-10-20
315da042-66f3-11ea-ac04-7077813058ce,308,140,39234,PAID,CARD PAYMENT,2006-07-17
