SH_ID,Current_Status,Sent_date,Delivery_date
690,DELIVERED,4/28/2014,12/18/2014
933,DELIVERED,6/14/1997,7/10/1997
261,NOT DELIVERED,8/14/1993,
445,NOT DELIVERED,12/13/2019,
722,NOT DELIVERED,9/21/1996,
129,DELIVERED,4/23/1971,11/1/1971
489,NOT DELIVERED,12/21/2005,
165,NOT DELIVERED,7/3/1979,
164,NOT DELIVERED,4/29/1976,
364,NOT DELIVERED,3/3/2012,
469,DELIVERED,2/18/1991,5/15/1991
158,DELIVERED,3/31/1976,6/30/1976
337,NOT DELIVERED,5/11/1976,
634,NOT DELIVERED,10/7/1980,
577,DELIVERED,3/19/1987,8/9/1987
907,NOT DELIVERED,7/23/2013,
870,NOT DELIVERED,3/2/2010,
982,NOT DELIVERED,10/17/2017,
351,DELIVERED,1/3/1977,7/6/1977
328,DELIVERED,1/20/1997,9/8/1997
242,NOT DELIVERED,12/9/1996,
421,DELIVERED,2/7/1999,3/5/1999
6,DELIVERED,3/8/1977,11/8/1977
384,NOT DELIVERED,2/21/1972,
286,DELIVERED,6/6/2005,9/15/2005
892,DELIVERED,11/17/2019,12/12/2019
558,DELIVERED,10/27/2013,11/15/2013
481,NOT DELIVERED,7/11/2006,
155,NOT DELIVERED,9/23/2003,
771,DELIVERED,5/3/2013,11/15/2013
945,DELIVERED,4/29/2001,8/10/2001
719,DELIVERED,1/22/2006,7/17/2006
493,NOT DELIVERED,8/20/1995,
998,DELIVERED,11/21/2013,11/15/2013
968,DELIVERED,1/4/1993,8/2/1993
738,NOT DELIVERED,9/19/1977,
912,NOT DELIVERED,12/30/2019,
782,DELIVERED,8/31/2002,10/20/2002
140,DELIVERED,6/10/2006,7/17/2006
702,DELIVERED,7/7/2004,11/20/2004
284,DELIVERED,2/6/1982,3/8/1982
199,NOT DELIVERED,7/27/2007,
228,DELIVERED,3/30/1994,4/9/1994
908,NOT DELIVERED,1/28/1999,
594,NOT DELIVERED,3/20/2004,
542,NOT DELIVERED,5/19/1986,
586,NOT DELIVERED,3/8/1977,
636,DELIVERED,2/24/2008,8/9/2008
581,NOT DELIVERED,11/24/2017,
336,NOT DELIVERED,10/9/1972,
504,DELIVERED,7/11/1982,10/15/1982
346,DELIVERED,6/5/2007,7/12/2007
135,NOT DELIVERED,9/10/2004,
822,DELIVERED,6/30/1991,7/15/1991
95,NOT DELIVERED,4/11/2013,
597,NOT DELIVERED,7/26/2010,
340,NOT DELIVERED,11/3/1981,
905,DELIVERED,4/11/1983,9/30/1983
250,DELIVERED,9/18/2006,10/22/2006
400,NOT DELIVERED,1/7/2003,
877,DELIVERED,1/25/2000,3/22/2000
97,NOT DELIVERED,5/25/2011,
12,NOT DELIVERED,6/18/2000,
353,DELIVERED,8/2/2012,10/4/2012
856,DELIVERED,6/26/1977,11/8/1977
1,DELIVERED,2/13/2010,11/30/2010
390,DELIVERED,3/24/2009,3/9/2009
446,NOT DELIVERED,4/25/1993,
32,NOT DELIVERED,8/30/2004,
420,NOT DELIVERED,1/2/1989,
708,DELIVERED,2/19/2019,7/31/2019
227,DELIVERED,1/25/2002,1/5/2002
595,NOT DELIVERED,5/10/2003,
211,DELIVERED,3/17/2006,12/23/2006
650,NOT DELIVERED,6/18/2007,
45,DELIVERED,3/3/1996,5/1/1996
201,NOT DELIVERED,12/2/1982,
564,DELIVERED,5/2/2004,9/25/2004
138,NOT DELIVERED,2/22/2008,
57,DELIVERED,3/18/2004,3/2/2004
128,NOT DELIVERED,3/22/1992,
33,NOT DELIVERED,4/5/1988,
936,NOT DELIVERED,2/9/2013,
762,NOT DELIVERED,3/21/1978,
838,DELIVERED,1/5/1995,8/23/1995
215,DELIVERED,1/10/1985,1/31/1985
818,DELIVERED,8/28/2006,10/20/2006
780,DELIVERED,10/12/1989,10/17/1989
40,NOT DELIVERED,5/3/1980,
366,DELIVERED,3/1/1980,3/16/1980
678,NOT DELIVERED,1/15/1994,
703,NOT DELIVERED,1/25/2017,
180,NOT DELIVERED,4/1/1975,
214,DELIVERED,3/6/1987,8/9/1987
408,DELIVERED,2/21/1990,9/11/1990
902,DELIVERED,1/6/1989,9/17/1989
763,DELIVERED,6/29/2014,9/9/2014
168,DELIVERED,1/5/1997,6/12/1997
723,NOT DELIVERED,7/23/1981,
438,DELIVERED,3/26/1977,3/30/1977
162,DELIVERED,6/10/1982,10/29/1982
246,DELIVERED,3/3/2019,3/1/2019
105,NOT DELIVERED,8/27/1997,
308,NOT DELIVERED,1/28/1979,
172,DELIVERED,10/29/2004,10/26/2004
775,NOT DELIVERED,9/28/2004,
333,DELIVERED,1/12/2013,8/11/2013
548,NOT DELIVERED,6/17/2012,
665,DELIVERED,1/12/2010,4/27/2010
305,DELIVERED,8/11/1992,11/1/1992
938,NOT DELIVERED,12/21/2018,
714,DELIVERED,4/22/2011,6/8/2011
251,DELIVERED,10/25/2003,12/2/2003
330,NOT DELIVERED,2/8/2012,
69,DELIVERED,3/14/2018,8/30/2018
969,DELIVERED,3/19/2013,3/9/2013
974,DELIVERED,4/23/2013,6/21/2013
526,DELIVERED,2/10/1991,7/3/1991
510,NOT DELIVERED,10/4/1976,
444,NOT DELIVERED,10/25/1987,
503,DELIVERED,3/26/1974,5/25/1974
109,NOT DELIVERED,5/18/2014,
823,DELIVERED,5/18/1975,5/20/1975
147,DELIVERED,3/20/2005,9/15/2005
625,NOT DELIVERED,10/3/2018,
695,NOT DELIVERED,9/25/2013,
983,NOT DELIVERED,7/9/1993,
82,NOT DELIVERED,5/29/1997,
397,NOT DELIVERED,2/29/2004,
599,NOT DELIVERED,8/31/2001,
306,DELIVERED,1/28/1983,7/22/1983
536,DELIVERED,9/23/2016,9/21/2016
20,NOT DELIVERED,9/29/2017,
515,NOT DELIVERED,1/1/1996,
332,NOT DELIVERED,9/14/2008,
127,DELIVERED,1/8/2006,1/9/2006
958,NOT DELIVERED,2/24/2016,
42,DELIVERED,1/20/1979,9/12/1979
977,DELIVERED,2/3/2002,10/20/2002
460,DELIVERED,4/16/2005,9/15/2005
659,DELIVERED,2/21/1998,9/11/1998
197,DELIVERED,3/29/1989,8/23/1989
540,DELIVERED,4/21/1977,11/8/1977
178,DELIVERED,1/1/2009,1/26/2009
202,DELIVERED,1/27/2001,8/3/2001
632,DELIVERED,8/26/1992,12/25/1992
25,DELIVERED,5/29/2004,5/17/2004
990,DELIVERED,5/18/2003,11/28/2003
913,NOT DELIVERED,5/8/1974,
371,NOT DELIVERED,7/3/1975,
514,NOT DELIVERED,5/18/1982,
707,NOT DELIVERED,6/19/2007,
473,DELIVERED,1/25/2012,1/17/2012
847,NOT DELIVERED,4/17/1983,
815,DELIVERED,1/30/2010,3/2/2010
928,NOT DELIVERED,9/5/1973,
210,NOT DELIVERED,10/23/2005,
793,NOT DELIVERED,7/6/1996,
872,DELIVERED,5/21/2008,5/17/2008
298,NOT DELIVERED,5/13/1979,
941,DELIVERED,7/1/2010,8/28/2010
731,NOT DELIVERED,7/5/1983,
500,NOT DELIVERED,7/5/1980,
142,NOT DELIVERED,8/21/1983,
787,DELIVERED,3/28/2011,6/25/2011
749,DELIVERED,4/30/2014,7/2/2014
304,DELIVERED,3/20/2004,9/25/2004
30,DELIVERED,2/19/2010,3/9/2010
477,NOT DELIVERED,9/7/1986,
52,NOT DELIVERED,5/20/2016,
73,NOT DELIVERED,3/6/1993,
691,DELIVERED,5/2/2012,8/20/2012
786,DELIVERED,6/6/1976,8/31/1976
68,NOT DELIVERED,7/30/2004,
630,DELIVERED,2/23/2009,9/29/2009
357,NOT DELIVERED,10/11/1990,
455,NOT DELIVERED,10/8/2011,
947,DELIVERED,1/15/1987,4/30/1987
589,NOT DELIVERED,2/6/1971,
863,NOT DELIVERED,3/4/1975,
668,DELIVERED,6/10/1972,6/16/1972
206,NOT DELIVERED,6/25/2012,
